Rol;Razón Social;Rubro;Imp. Económica;Región;Situación;Estado
4210;"COOPERATIVA DE TRABAJO PRODUCCION DE LA TIERRA, DE NOMBRE DE FANTASIA ""ATAC""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4211;"COOPERATIVA DE TRABAJO DESTELLOS DE HUECHURABA LIMITADA, DE SIGLA ""COOP. DESTELLOS HUECHURABA LTDA.""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4212;"COOPERATIVA DE TRABAJO COOPERATIVISMO PARA LA DANZA CONTEMPORANEA INDEPENDIENTE, DE NOMBRE DE FANTASIA ""COMPAÑIA MOVIMIE";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4213;COOPERATIVA DE TRABAJO LABORAL LIMITADA, DE NOMBRE DE FANTA SIA LARCOVI LTDA.;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4222;COOPERATIVA DE TRABAJO, SENO DE RELONCAVI LIMITADA, DE NOMBRE DE FANTASIA RELONCOOP, DE LA CIUDAD DE PUERTO MONTT, PROVI;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4223;COOPERATIVA DE TRABAJO CONSTRUCOOP LIMITADA, DE CHILLAN;Producción y Trabajo.;NO;08 Biobío  ;Activa;Vigente
4224;COOPERATIVA DE TRABAJO EN SERVICIOS TECNOLOGICOS SILVOAGROPECUARIOS,COMERCIALIZACION Y TURISMO VALLE FLORIDO LIMITADA;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4225;COOPERATIVA DE TRABAJO EN SERVICIOS TECNOLOGICOS AGROPECUARIOS, COMERCIALIZACION Y TURISMO EL OLIVO LIMITADA, DE NOMBRE;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4226;COOPERATIVA DE TRABAJO DUATAO;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4229;COOPERATIVA DE TRABAJO ASECOOP LIMITADA;Producción y Trabajo.;NO;08 Biobío  ;Activa;Vigente
4230;COOPERATIVA DE TRABAJO DE PRODUCCION Y TRANSFORMACION DE BIENES Y SERVICIOS PROFESIONALES Y DESARROLLO SUSTENTABLE;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4235;"COOPERATIVA DE TRABAJO HORTALICERAS DE ESTERO-CHACAO LTDA."" DE NOMBRE DE FANTASIA ""LAS HORTENCIAS""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4237;"COOPERATIVA DE TRABAJO DENOMINADA MARISCADORAS DE LAS CRUCES PUESTA DE SOL, DE NOMBRE DE FANTASIA ""PUESTA DE SOL""";Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4241;"COOPERATIVA DE MUEBLISTAS MILLARAY NOMBRE DE FANTASIA ""MUEBLES MILLARAY""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4242;SCHOLE COOPERATIVA DE TRABAJO Y PRODUCCION, NOMBRE FANTASIA GRUPO SCHOLE;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4243;"COOPERATIVA DE TRABAJO ""CERDO LIMPIO LIMITADA"", RAZON SOCIAL CERDO LIMPIO LIMITADA.";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4244;"COOPERATIVA PONIENTE, PUDIENDO ACTUAR CON NOMBRE DE FANTASIA ""CONSULTORA PONIENTE""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4246;"COOPERATIVA DE TRABAJO CHILHUE, PUDIENDO USAR INDISTINTAMENTE ""COOPERATIVA CHILHUÉ"".";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4250;COOPERATIVA DE TRABAJO EN SERVICIOS DE TRANSPORTES Y TURISMO SAN PEDRO LIMITADA, NOMBRE DE FANTASIA COOPERATIVA SAN PEDRO LTDA.;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4254;COOPERATIVA DE TRABAJO DE ARTESANOS SANTIAGO PONIENTE NOMBRE FANTASÍA LA MINGA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4261;COOPERATIVA DE TRABAJO SERVICIOS MONTAJES INDUSTRIALES CHILE LTDA. NOMBRE DE FANTASIA COOSEMIN CHILE LTDA.;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4267;COOPERATIVA DE TRABAJO COIPOMO;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4271;"COOPERATIVA ""TRABAJO EN AMISTAD"" O ""TRABAJO EN AMISTAD""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4277;COOPERATIVA DE TRABAJO ALMACENEROS DE SAN ANTONIO, SIGLA COOSAN;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4281;COOPERATIVA PARA LA PROMOCION Y DESARROLLO HUMANO, DE SIGLA VALCAPACITACION;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4282;COOPERATIVA DE TRABAJO KOYAM LIMITADA, SIGLA COOPKOYAM LTDA.;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4283;COOPERATIVA DE ARTESANOS TUTEN;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4284;COOPERATIVA DE TRABAJO PROSPERIDAD LIMITADA, NOMBRE DE FANTASIA PROSPERIDAD;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
